"display","label","note","source","value","pre","suf"
"₩10M → ₩0.3M","영상 1편 제작 비용","AI 기반 제작 Workflow 구축","Project 02 · AI Content System","0","",""
"14 → 5 DAYS","기획부터 최종 납품까지","Character Sheet · Prompt Framework · Archive 표준화","Project 02 · AI Content System","0","",""
"+26%","검색 기반 웹사이트 유입","질문 중심 콘텐츠 구조 · GEO 아키텍처","Project 01 · GEO","26","+","%"
"1 → 5","월 영업 문의","콘텐츠 구조 개선 이후 월 문의 확대","Project 01 · GEO","0","",""
"33 → 65","유효 미팅 · +97% YoY","전시 메시지 · 시연 · 관람 동선 · 운영 재설계","Project 03 · Exhibition","0","",""
"4K → 12K+","YouTube 구독자","청년 타깃 콘텐츠 포맷 · 채널 운영 개선에 기여","Project 04 · Social","0","",""
"-80%","설치·운용 CS 문의","정보 수요자별 가이드 3종 분리","Targeted Guide Project","80","-","%"
"-70%","파트너 응답 대기 시간","7일 → 2일 · Support Hub 정보구조 재설계","Support Hub","70","-","%"
"20억","농협은행 통합인증센터 수주","데이터 기반 제안 전략 및 구매 명분 설계","Data-driven Proposal","20","","억"
