"METRICS","","","","","","","","",""
"Metric ID","Project ID","Metric","","","Unit","Change","Evidence / Source","Portfolio Phrase","Verified"
"M001","P010","제작 기간","14","5","days","-64%","프로젝트 기록","14일 → 5일로 단축","확인"
"M002","P010","제작 비용","10,000,000","300,000","KRW","-97%","프로젝트 기록","1,000만원 → 30만원 수준으로 절감","확인"
"M003","P007","전시 미팅 수","33","65","건","+97%","전시 결과 기록","파트너 미팅 33건 → 65건","확인"
"M004","P012","GEO 성과 지수","100","126","index","+26%","성과 기록","GEO 성과 +26%","확인"
"M005","P008","OSMU 제작 리소스","100","60","index","-40%","업무 기록","OSMU 제작 리소스 40% 절감","확인"
